trajectory_index,mode_index,selection_reason,eigenvalue,time,initial_coefficient,actual_coefficient,propagator,homogeneous_coefficient,net_forcing_injection,previous_step_forcing_projection,duhamel_reconstruction,identity_residual,relative_identity_residual,cancellation_condition,absolute_prediction_error,forcing_radius_R,epsilon,shadowing,mode_energy_fraction,selected_modes_energy_fraction
0,1,low,-13.20075514043792,770,0.021931360635263596,0.031791242421923736,1.449794245765587,0.03179596045081507,-4.718028891334547e-06,-4.316121036962439e-08,0.03179124242192372,1.3877787807814457e-17,2.1823193278407014e-16,1.0010666827372383,4.718028891334547e-06,2.9193140595489657e-05,0.0009181399203414001,1,0.05042959707725665,0.9921754671914865
0,1,low,-13.20075514043792,780,0.021931360635263596,0.0345278650831353,1.5746040521288411,0.03453320932498501,-5.344241849711273e-06,-1.4289434760450526e-08,0.034527865083135274,2.7755575615628914e-17,4.018678854088947e-16,1.0010794356201416,5.344241849711273e-06,3.19263656084715e-05,0.000924511976515677,1,0.04963220889909557,0.9927325819130136
0,1,low,-13.20075514043792,790,0.021931360635263596,0.03757448485647104,1.7135533542938695,0.03758055658078446,-6.071724313425064e-06,-2.489794919541266e-08,0.03757448485647101,2.7755575615628914e-17,3.6928106101840933e-16,1.0010930631383375,6.071724313425064e-06,3.499956002520252e-05,0.0009313209598151175,1,0.04883756969974945,0.9932501986167195
0,1,low,-13.20075514043792,800,0.021931360635263596,0.04097103213338353,1.8684650571152475,0.04097798100198288,-6.948868599351843e-06,-4.746301197205982e-08,0.04097103213338349,4.163336342344337e-17,5.079967632059368e-16,1.0011090947989298,6.948868599351843e-06,3.849189004656964e-05,0.000939331053052786,1,0.04804636023202979,0.9937311805456581
0,1,low,-13.20075514043792,810,0.021931360635263596,0.0447631760707736,2.041423985006602,0.04477120562465673,-8.029553883133478e-06,-3.9061742944379585e-08,0.04476317607077355,4.85722573273506e-17,5.424497358253014e-16,1.0011286505721708,8.029553883133478e-06,4.249243040133228e-05,0.0009491017677203344,1,0.047259149951046575,0.9941780470933876
0,1,low,-13.20075514043792,820,0.021931360635263596,0.04900329745720718,2.2348178127595344,0.04901259540574034,-9.297948533160127e-06,-4.2861994890841526e-08,0.04900329745720715,3.469446951953614e-17,3.5393422070720137e-16,1.0011493840031414,9.297948533160127e-06,4.7025657665329806e-05,0.0009594606707936583,1,0.046476574589037846,0.9945932750676141
0,1,low,-13.20075514043792,830,0.021931360635263596,0.05375130028317204,2.4513848835810212,0.05376220593764904,-1.0905654476998927e-05,-7.237958137701339e-08,0.05375130028317202,2.0816681711721685e-17,1.9359958681628427e-16,1.0011756935371934,1.0905654476998927e-05,5.228940188167124e-05,0.0009726052153126698,1,0.04569903587308369,0.9949789899969428
0,1,low,-13.20075514043792,840,0.021931360635263596,0.05907624509063612,2.694270099024139,0.059089009190505755,-1.276409986963184e-05,-9.361707027644162e-08,0.059076245090636116,6.938893903907228e-18,5.871560548202718e-17,1.001202044620664,1.276409986963184e-05,5.8248182750591856e-05,0.0009857701719586625,1,0.04492727747993661,0.9953373297912025
0,1,low,-13.20075514043792,850,0.021931360635263596,0.06505725587154836,2.9670903798654193,0.06507232915824977,-1.5073286701416944e-05,-9.693770192109596e-08,0.06505725587154837,-1.3877787807814457e-17,1.066335567462553e-16,1.001233318988947,1.5073286701416944e-05,6.516306233375739e-05,0.0010013943434433853,1,0.044161553902277245,0.9956700852101151
0,1,low,-13.20075514043792,860,0.021931360635263596,0.07178555844098046,3.274011406239995,0.07180352487421585,-1.796643323538627e-05,-1.3192441890297335e-07,0.07178555844098049,-2.7755575615628914e-17,1.932744643403694e-16,1.001270506467011,1.796643323538627e-05,7.3237583001883e-05,0.0010199719739411026,1,0.04340224225118828,0.9959792023462166
0,1,low,-13.20075514043792,870,0.021931360635263596,0.07936633631355187,3.6198377243018762,0.07938796657279633,-2.1630259244453942e-05,-1.7925584125388916e-07,0.07936633631355189,-1.3877787807814457e-17,8.740485747981059e-17,1.0013150390697776,2.1630259244453942e-05,8.273957383297615e-05,0.001042218076679247,1,0.04264970679302298,0.9962663033688083
0,1,low,-13.20075514043792,880,0.021931360635263596,0.08792110082298799,4.010118649294199,0.08794735828786722,-2.6257464879234083e-05,-2.615181813186984e-07,0.08792110082298799,0.0,0.0,1.0013672813587045,2.6257464879234083e-05,9.395541731281789e-05,0.0010683142636903912,1,0.04190434616168995,0.9965329246645493
0,1,low,-13.20075514043792,890,0.021931360635263596,0.09759028025296906,4.451272943890917,0.09762247221846315,-3.2191965494088315e-05,-3.241630273376206e-07,0.09759028025296905,1.3877787807814457e-17,7.107885865028205e-17,1.0014297464264483,3.2191965494088315e-05,0.00010733738895369001,0.001099515168121193,1,0.04116641998917617,0.9967805295214263
0,1,low,-13.20075514043792,900,0.021931360635263596,0.10853635662970351,4.9507357066197715,0.10857637019175476,-4.001356205124429e-05,-4.3975392076400777e-07,0.10853635662970354,-2.7755575615628914e-17,1.278159122772768e-16,1.001507369277618,4.001356205124429e-05,0.00012359080743695419,0.0011382845753517335,1,0.04043608994150929,0.9970105061229371
0,1,low,-13.20075514043792,910,0.021931360635263596,0.12094791263295587,5.517131708070134,0.12099820516193394,-5.0292528978063133e-05,-6.211106218095841e-07,0.12094791263295589,-1.3877787807814457e-17,5.734708126141863e-17,1.0016017149321186,5.0292528978063133e-05,0.00014343154869471113,0.0011854022834698603,1,0.039713637498313824,0.9972240619289986
0,1,low,-13.20075514043792,920,0.021931360635263596,0.13504379620344864,6.160480097630846,0.13510771070750596,-6.391450405732191e-05,-8.433367009175186e-07,0.13504379620344867,-2.7755575615628914e-17,1.0271647513781368e-16,1.0017166941554465,6.391450405732191e-05,0.00016791439161446093,0.001242818716527423,1,0.03899930409043106,0.9974223968963423
0,1,low,-13.20075514043792,930,0.021931360635263596,0.15107815973787891,6.892436528855195,0.1511605111699877,-8.235143210877371e-05,-1.185724377211761e-06,0.15107815973787891,0.0,0.0,1.0018603581207586,8.235143210877371e-05,0.0001987080492288402,0.0013145499951728987,1,0.03829312923681992,0.9976065926262653
0,1,low,-13.20075514043792,940,0.021931360635263596,0.16934696350874257,7.726579742996241,0.16945440682077287,-0.0001074433120303031,-1.6769598459309698e-06,0.1693469635087426,-2.7755575615628914e-17,8.189688346371897e-17,1.002039157116685,0.0001074433120303031,0.00023788175379751842,0.0014038097814069788,1,0.03759528445248734,0.9977776723975523
0,1,low,-13.20075514043792,950,0.021931360635263596,0.19019496379105194,8.67875115484338,0.19033682144058056,-0.00014185764952862057,-2.3242044601134992e-06,0.19019496379105202,-8.326672684688674e-17,2.1873520377369808e-16,1.002262037244865,0.00014185764952862057,0.00028837044235249543,0.0015150533678661806,1,0.03690585337441332,0.9979365765000664
0,1,low,-13.20075514043792,960,0.021931360635263596,0.21402378673721537,9.767457430991792,0.21421363140866628,-0.0001898446714509172,-3.339702797061639e-06,0.2140237867372154,-2.7755575615628914e-17,6.478480251958892e-17,1.0025444902504612,0.0001898446714509172,0.0003547367672687229,0.0016559953021475719,1,0.03622477122022667,0.9980841771687596
0,1,low,-13.20075514043792,970,0.021931360635263596,0.24130237424234818,11.014348178138148,0.24155964205710628,-0.0002572678147580998,-4.803292811911275e-06,0.2413023742423482,-2.7755575615628914e-17,5.745077153464923e-17,1.0029029033237844,0.0002572678147580998,0.00044320964946706294,0.0018347835163718502,1,0.03555203592255803,0.9982213045291927
0,1,low,-13.20075514043792,980,0.021931360635263596,0.27257813057791525,12.444782815113427,0.2729310199457835,-0.00035288936786825875,-6.927548690527363e-06,0.2725781305779153,-5.551115123125783e-17,1.0169447071696882e-16,1.0033600232545994,0.00035288936786825875,0.0005629794895687713,0.002062717127868443,1,0.03488754155925828,0.9983487171778409
0,1,low,-13.20075514043792,990,0.021931360635263596,0.30849033226528755,14.088503235806195,0.3089800452755438,-0.000489713010256243,-1.0091900667086318e-05,0.3084903322652876,-5.551115123125783e-17,8.982967036229445e-17,1.0039458775403494,0.000489713010256243,0.0007275520632442906,0.0023546894835731885,1,0.03423111374279191,0.998467122836279
0,1,low,-13.20075514043792,1000,0.021931360635263596,0.3497853834915442,15.980431710086835,0.35047261094111654,-0.0006872274495723363,-1.4737980170653753e-05,0.3497853834915442,0.0,0.0,1.0047006912109417,0.0006872274495723363,0.0009570056283222125,0.002730614599960853,1,0.03358246885359976,0.9985771893038932
0,1,low,-13.20075514043792,1010,0.021931360635263596,0.39733428520193614,18.161615994839266,0.3983089501019916,-0.000974664900055433,-2.1721285335618568e-05,0.3973342852019361,5.551115123125783e-17,6.968353487543219e-17,1.005677663223224,0.000974664900055433,0.0012812653583616324,0.0032167626613299797,1,0.032941213648351376,0.9986795053847319
